id,mmd_english,mmd_japanese,mmd_japaneseLR,blender_rigify,ffxiv,description,required,PMXE_order,parent,controller,rotate,move,invisible,physics,bone_category,group_eng,group_jap,cancel,cancel_parent,IK_target,IK_children,IK_child_limit_min,IK_child_limit_max,add_to_rig
179,hat_bunny_ears_L,,,,j_ex_met_a,hat_bunny_ears_L,,,,,y,y,,y,head,,,,,,,,,
180,hat_bunny_ears_R,,,,j_ex_met_b,hat_bunny_ears_R,,,,,y,y,,y,head,,,,,,,,,
61,j_f_dlip_a,lip_lower_A,lip_lower_A,,j_f_dlip_a,lip_lower_A,,74,73,,y,y,y,,head,,,,,,,,,
62,head lip lower middle,head lip lower middle,ead lip lower middle.H,,j_f_dlip_b,lip_lower_B,,75,74,,y,y,,,head,,,,,,,,,
67,head eyelid left lower,head eyelid left lower,ead eyelid left lower.H,,j_f_dmab_l,eyelid_lower_L,,80,22,,y,y,,,head,,,,,,,,,
68,head eyelid right lower,head eyelid right lower,ead eyelid right lower.H,,j_f_dmab_r,eyelid_lower_R,,81,22,,y,y,,,head,,,,,,,,,
70,eye_L, 左目, 目.L, eye.L,j_f_eye_l,eye_L,,83,22,82,y,,,,face,Others,,,,,,,,
71,eye_R, 右目, 目.R, eye.R,j_f_eye_r,eye_R,,84,22,82,y,,,,face,Others,,,,,,,,
72,nostrils,,,,j_f_hana,nostrils,,85,,,y,,,,face,,,,,,,,,
73,head cheek left 1,head cheek left 1,ead cheek left 1.H,,j_f_hoho_l,cheek_L,,86,,,y,y,,,face,,,,,,,,,
74,head cheek right 1,head cheek right 1,ead cheek right 1.H,,j_f_hoho_r,cheek_R,,87,,,y,y,,,face,,,,,,,,,
75,head mouth corner left,head mouth corner left,ead mouth corner left.H,,j_f_lip_l,lip_side_L,,88,,,y,y,,,face,,,,,,,,,
76,head mouth corner right,head mouth corner right,ead mouth corner right.H,,j_f_lip_r,lip_side_R,,89,,,y,y,,,face,,,,,,,,,
77,head eyebrow left 2,,,,j_f_mayu_l,eyebrow_mid_L,,90,,,y,y,,,face,,,,,,,,,
78,head eyebrow right 2,,,,j_f_mayu_r,eyebrow_mid_R,,91,,,y,y,,,face,,,,,,,,,
79,j_f_memoto,j_f_memoto,_f_memoto.J,,j_f_memoto,upper_nose,,92,,,y,,,,face,,,,,,,,,
80,head eyebrow left 1,,,,j_f_miken_l,eyebrow_front_L,,93,,,y,y,,,face,,,,,,,,,
81,head eyebrow right 1,,,,j_f_miken_r,eyebrow_front_R,,94,,,y,y,,,face,,,,,,,,,
82,j_f_ulip_a,j_f_ulip_a,_f_ulip_a.J,,j_f_ulip_a,lip_upper_A,,95,,,y,y,y,,face,,,,,,,,,
83,head lip upper middle,,,,j_f_ulip_b,lip_upper_B,,96,,,y,y,,,face,,,,,,,,,
84,head eyelid left upper,,,,j_f_umab_l,eyelid_upper_L,,97,,,y,y,,,face,,,,,,,,,
85,head eyelid right upper,,,,j_f_umab_r,eyelid_upper_R,,98,,,y,y,,,face,,,,,,,,,
147,hair_back_a,hair_back_1,hair_back_1,,j_kami_a,hair_back_a,,,,,y,y,,y,hair,髪,Hair,,,,,,,
148,hair_back_b,hair_back_2,hair_back_2,,j_kami_b,hair_back_b,,,,,y,y,,y,hair,髪,Hair,,,,,,,
65,hair l,hair l,air l.H,,j_kami_f_l,hair_front_L,,78,22,,y,,,y,hair,,,,,,,,,
66,hair r,hair r,air r.H,,j_kami_f_r,hair_front_R,,79,22,,y,,,y,hair,,,,,,,,,
29,head, 頭, 頭, spine.005,j_kao,head,y,22,21,,y,,,,head,体(上),Upper Body,,,,,,,
7,lower body, 下半身, 下半身, hips,j_kosi,lower body,y,4,3,,y,,,,torso,体(下),Lower Body,,,,,,,
28,neck, 首, 首, spine.004,j_kubi,neck,y,21,6,,y,,,,head,体(上),Upper Body,,,,,,,
90,L ear,左耳, 耳.L,,j_mimi_l,earring_anchor_L,,103,,,y,,,,head,,,,,,,,,
93,R ear,右耳, 耳.R,,j_mimi_r,ear_R,,106,,,y,,,,head,,,,,,,,,
58,bust_L, 左胸, 胸.L,,j_mune_l,bust_L,,71,6,,y,,y,,torso,,,,,,,,,
59,bust_R, 右胸, 胸.R,,j_mune_r,bust_R,,72,6,,y,,y,,torso,,,,,,,,,
31,shoulder_L, 左肩, 肩.L, shoulder.L,j_sako_l,shoulder_L,y,24,23,,y,,,,arms,腕,Arms,,,,,,,
45,shoulder_R, 右肩, 肩.R, shoulder.R,j_sako_r,shoulder_R,y,48,47,,y,,,,arms,腕,Arms,,,,,,,
8,upper body, 上半身, 上半身, Spine.001 ,j_sebo_a,upper body,y,5,3,,y,,,,torso,体(上),Upper Body,,,,,,,
9,upper body 2, 上半身2, 上半身2, spine.002,j_sebo_b,upper body 2,y,6,5,,y,,,,torso,体(上),Upper Body,,,,,,,
167,skirt_b_L_a,,,,j_sk_b_a_l,skirt_b_L_a,,,,,y,,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
171,skirt_b_R_a,,,,j_sk_b_a_r,skirt_b_R_a,,,,,y,,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
168,skirt_b_L_b,,,,j_sk_b_b_l,skirt_b_L_b,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
172,skirt_b_R_b,,,,j_sk_b_b_r,skirt_b_R_b,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
169,skirt_b_L_c,,,,j_sk_b_c_l,skirt_b_L_c,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
173,skirt_b_R_c,,,,j_sk_b_c_r,skirt_b_R_c,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
174,skirt_b_R_d,,,,j_sk_b_d_f,skirt_b_R_d,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
170,skirt_b_L_d,,,,j_sk_b_d_l,skirt_b_L_d,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
151,skirt_fr_L_a,,,,j_sk_f_a_l,skirt_fr_L_a,,,,,y,,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
155,skirt_fr_R_a,,,,j_sk_f_a_r,skirt_fr_R_a,,,,,y,,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
152,skirt_fr_L_b,,,,j_sk_f_b_l,skirt_fr_L_b,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
156,skirt_fr_R_b,,,,j_sk_f_b_r,skirt_fr_R_b,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
153,skirt_fr_L_c,,,,j_sk_f_c_l,skirt_fr_L_c,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
157,skirt_fr_R_c,,,,j_sk_f_c_r,skirt_fr_R_c,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
158,skirt_fr_R_d,,,,j_sk_f_d_f,skirt_fr_R_d,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
154,skirt_fr_L_d,,,,j_sk_f_d_l,skirt_fr_L_d,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
159,skirt_s_L_a,,,,j_sk_s_a_l,skirt_s_L_a,,,,,y,,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
163,skirt_s_R_a,,,,j_sk_s_a_r,skirt_s_R_a,,,,,y,,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
160,skirt_s_L_b,,,,j_sk_s_b_l,skirt_s_L_b,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
164,skirt_s_R_b,,,,j_sk_s_b_r,skirt_s_R_b,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
161,skirt_s_L_c,,,,j_sk_s_c_l,skirt_s_L_c,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
165,skirt_s_R_c,,,,j_sk_s_c_r,skirt_s_R_c,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
162,skirt_s_L_d,,,,j_sk_s_d_l,skirt_s_L_d,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
166,skirt_s_R_d,,,,j_sk_s_d_r,skirt_s_R_d,,,,,y,y,,y,skirt,ｽｶｰﾄ,Skirt,,,,,,,
43,wrist_L, 左手首, 手首.L, hand.L,j_te_l,wrist_L,y,36,32,,y,,,,arms,腕,Arms,,,,,,,
57,wrist_R, 右手首, 手首.R, hand.R,j_te_r,wrist_R,y,60,56,,y,,,,arms,,,,,,,,,
33,arm_L, 左腕, 腕.L, upper_arm.L,j_ude_a_l,arm_L,y,26,25,,y,,,,arms,腕,Arms,,,,,,,
47,arm_R, 右腕, 腕.R, upper_arm.R,j_ude_a_r,arm_R,y,50,49,,y,,,,arms,腕,Arms,,,,,,,
38,elbow_L, 左ひじ, ひじ.L, forearm.L,j_ude_b_l,elbow_L,y,31,27,,y,,,,arms,腕,Arms,,,,,,,
52,elbow_R, 右ひじ, ひじ.R, forearm.R,j_ude_b_r,elbow_R,y,55,51,,y,,,,arms,,,,,,,,,
16,leg IK_L, 左足ＩＫ, 足ＩＫ.L,,leg IK_L,leg IK_L,y,12,0,,y,y,,,IK,ＩＫ,IK,,,10,"9,8",-180,-0.5,
24,leg IK_R, 右足ＩＫ, 足ＩＫ.R,,leg IK_R,leg IK_R,y,19,0,,y,y,,,IK,ＩＫ,IK,,,17,"16,15",-180,-0.5,Y
25,leg IK_R_t, 右足ＩＫ先, 足ＩＫ先.R,,leg IK_R_t,leg IK_R_t,,,,,y,y,,,IK,ＩＫ,IK,,,,,,,Y
144,dummy_L, 左ダミー, ダミー.L,,n_buki_l,dummy_L,,,,,y,y,,,armor,,,,,,,,,
145,dummy_R, 右ダミー, ダミー.R,,n_buki_r,dummy_R,,,,,y,y,,,armor,,,,,,,,,
181,armor_forearm_L,,,,n_buki_tate_l,armor_forearm_L,,,,,y,y,,,armor,,,,,,,,,
182,armor_forearm_R,,,,n_buki_tate_r,armor_forearm_R,,,,,y,y,,,armor,,,,,,,,,
91,n_ear_a_l,,,,n_ear_a_l,earring_1_L,,104,,,y,,y,,head,,,,,,,,,
94,n_ear_a_r,,,,n_ear_a_r,earring_1_R,,107,,,y,,y,,head,,,,,,,,,
92,n_ear_b_l,,,,n_ear_b_l,earring_2_L,,105,,,y,y,y,,head,,,,,,,,,
95,n_ear_b_r,,,,n_ear_b_r,earring_2_R,,108,,,y,y,y,,head,,,,,,,,,
6,waist, 腰, 腰,,n_hara,waist,y,3,2,,y,,,,torso,センター,Center,,,,,,,Y
183,clothes_elbow_L,,,,n_hhiji_l,clothes_elbow_L,,,,,y,,,y,armor,,,,,,,,,
184,clothes_elbow_R,,,,n_hhiji_r,clothes_elbow_R,,,,,y,,,y,armor,,,,,,,,,
34,arm twist_L, 左腕捩, 腕捩.L,,n_hkata_l,shouldertwist_L,,27,26,,y,,,,arms,腕,Arms,y,34,,,,,
48,arm twist_R, 右腕捩, 腕捩.R,,n_hkata_r,shouldertwist_R,,51,50,,y,,,,arms,腕,Arms,,,,,,,
39,wrist twist_L, 左手捩, 手捩.L,,n_hte_l,wrist twist_L,,32,31,,y,,,,arms,腕,Arms,,,,,,,
53,wrist twist_R, 右手捩, 手捩.R,,n_hte_R,wrist twist_R,,56,55,,y,,,,arms,,,,,,,,,
186,armor_shouldpad_l,,,,n_kataarmor_l,armor_shouldpad_l,,,,,y,y,,,armor,,,,,,,,,
185,armor_shouldpad_R,,,,n_kataarmor_r,armor_shouldpad_R,,,,,y,y,,,armor,,,,,,,,,
1,n_throw,,,,n_throw,n_throw,,,,,,,,,motherbone,,,,,,,,,
17,toe IK_L, 左つま先ＩＫ, つま先ＩＫ.L,,toe IK_L,toe IK_L,y,13,12,,y,y,,,IK,ＩＫ,IK,,,11,10,,,
26,toe IK_R, 右つま先ＩＫ, つま先ＩＫ.R,,toe IK_R,toe IK_R,y,20,19,,y,y,,,IK,ＩＫ,IK,,,18,,,,Y
27,toe IK_R_t, 右つま先ＩＫ先, つま先ＩＫ先.R,,toe IK_R_t,toe IK_R_t,,,,,y,y,,,IK,ＩＫ,IK,,,,,,,Y
2,view cnt, 操作中心, 操作中心,,view cnt,view cnt,y,,,,y,y,,,motherbone,,,,,,,,,Y
3,root, 全ての親, 全ての親,root,,motherbone,y,0,-1,,y,y,,,motherbone,Root,Root,,,,,,,Y
10,waist cancel left, 腰キャンセル左, 腰キャンセル.L,,,waist cancel left,y,7,4,3,y,,y,,torso,体(上),Upper Body,y,6,,,,,Y
18,waist cancel right, 腰キャンセル右, 腰キャンセル.R,,,waist cancel right,y,14,4,3,y,,y,,torso,足,Legs,y,6,,,,,Y
30,raise shoulder_L, 左肩P,,,,raise shoulder_L,,23,6,,y,,,,arms,腕,Arms,,,,,,,
32,shoulder_hidden_L,左肩C,,,,shoulder_hidden_L,,25,24,23,y,,y,,arms,腕,Arms,,,,,,,
35,left arm twist 1, 左腕捩1, 腕捩1.L,,,left arm twist 1,,28,26,27,y,,y,,arms,腕,Arms,,,,,,,
36,left arm twist 2, 左腕捩2, 腕捩2.L,,,left arm twist 2,,29,26,27,y,,y,,arms,腕,Arms,,,,,,,
37,left arm twist 3, 左腕捩3, 腕捩3.L,,,left arm twist 3,,30,26,27,y,,y,,arms,腕,Arms,,,,,,,
40,left hand screw 1, 左手捩1,,,,left hand screw 1,,33,31,32,y,,y,,arms,腕,Arms,,,,,,,
41,left hand screw 2, 左手捩2,,,,left hand screw 2,,34,31,32,y,,y,,arms,腕,Arms,,,,,,,
42,left hand screw 3, 左手捩3,,,,left hand screw 3,,35,31,32,y,,y,,arms,腕,Arms,,,,,,,
44,raise shoulder_R, 右肩P,,,,raise shoulder_R,,47,,,,,,,arms,腕,Arms,,,,,,,
46,shoulder_hidden_R, 右肩C,,,,shoulder_hidden_R,,49,48,47,y,,y,,arms,腕,Arms,,,,,,,
49,right arm rig1, 右腕捩1, 腕捩1.R,,,right arm rig1,,52,50,51,y,,y,,arms,腕,Arms,,,,,,,
50,right arm rig2, 右腕捩2, 腕捩2.R,,,right arm rig2,,53,50,51,y,,y,,arms,腕,Arms,,,,,,,
51,right arm rig3, 右腕捩3, 腕捩3.R,,,right arm rig3,,54,50,51,y,,y,,arms,,,,,,,,,
54,right elbow rig1, 右手捩1, 手捩1.R,,,right elbow rig1,,57,55,56,y,,y,,arms,,,,,,,,,
55,right elbow rig2, 右手捩2, 手捩2.R,,,right elbow rig2,,58,55,56,y,,y,,arms,,,,,,,,,
56,right elbow rig3, 右手捩3, 手捩3.R,,,right elbow rig3,,59,55,56,y,,y,,arms,,,,,,,,,
69,eyes,,,,,eyes,,82,22,,y,,,,face,Others,,,,,,,,
86,earring l base,,,,,earring l base,,99,,,y,,,,head,,,,,,,,,
87,earring l,,,,,earring l,,100,,,y,,,,head,,,,,,,,,
88,earring r base,,,,,earring r base,,101,,,y,,,,head,,,,,,,,,
89,earring r,,,,,earring r,,102,,,y,,,,head,,,,,,,,,
96,tail 1,,,,,tail 1,,109,,,y,,,y,tail,その他,Others,,,,,,,
97,tail 2,,,,,tail 2,,110,,,y,,,y,tail,その他,Others,,,,,,,
98,tail 3,,,,,tail 3,,111,,,y,,,y,tail,その他,Others,,,,,,,
99,tail 4,,,,,tail 4,,112,,,y,,,y,tail,その他,Others,,,,,,,
100,tail 5,,,,,tail 5,,113,,,y,,,y,tail,その他,Others,,,,,,,
101,tail 6,,,,,tail 6,,114,,,y,,,y,tail,その他,Others,,,,,,,
102,tail 7,,,,,tail 7,,115,,,y,,,y,tail,その他,Others,,,,,,,
103,tail 8,,,,,tail 8,,116,,,y,,,y,tail,その他,Others,,,,,,,
104,tail 9,,,,,tail 9,,117,,,y,,y,y,tail,その他,Others,,,,,,,
105,HeadTop,頭先,先.H,,,HeadTop,,454,,,y,,y,,head,その他,Others,,,,,,,
106,bone0059,head eyebrows middle,ead eyebrows middle.B,,,head eyebrows middle,,455,,,y,y,y,,head,表情,Exp,,,,,,,
107,bone0061,head nose middle,ead nose middle.B,,,head nose middle,,456,,,y,y,y,,head,表情,Exp,,,,,,,
108,bone0064,head tongue 1,ead tongue 1.B,,,head tongue 1,,457,,,y,y,y,,head,表情,Exp,,,,,,,
109,bone0065,head tongue 2,ead tongue 2.B,,,head tongue 2,,458,,,y,y,y,,head,表情,Exp,,,,,,,
110,bone0066,head lip lower left,ead lip lower left.B,,,head lip lower left,,459,,,y,y,y,,head,表情,Exp,,,,,,,
111,bone0067,head lip lower right,ead lip lower right.B,,,head lip lower right,,460,,,y,y,y,,head,表情,Exp,,,,,,,
112,bone0069,head cheek left 2,ead cheek left 2.B,,,head cheek left 2,,461,,,y,y,y,,head,表情,Exp,,,,,,,
113,bone0070,head cheek left 5,ead cheek left 5.B,,,head cheek left 5,,462,,,y,y,y,,head,表情,Exp,,,,,,,
114,bone0072,head eyelid left ctrl,ead eyelid left ctrl.B,,,head eyelid left ctrl,,463,,,y,y,y,,head,表情,Exp,,,,,,,
115,bone0076,head eyebrow left 3,ead eyebrow left 3.B,,,head eyebrow left 3,,464,,,y,y,y,,head,表情,Exp,,,,,,,
116,bone0080,head lip upper left,ead lip upper left.B,,,head lip upper left,,465,,,y,y,y,,head,表情,Exp,,,,,,,
117,bone0081,head nose left,ead nose left.B,,,head nose left,,466,,,y,y,y,,head,表情,Exp,,,,,,,
118,bone0082,head nostril left,ead nostril left.B,,,head nostril left,,467,,,y,y,y,,head,表情,Exp,,,,,,,
119,bone0083,head cheek left 3,ead cheek left 3.B,,,head cheek left 3,,468,,,y,y,y,,head,表情,Exp,,,,,,,
120,bone0084,head cheek left 4,ead cheek left 4.B,,,head cheek left 4,,469,,,y,y,y,,head,表情,Exp,,,,,,,
121,bone0086,head cheek right 2,ead cheek right 2.B,,,head cheek right 2,,470,,,y,y,y,,head,表情,Exp,,,,,,,
122,bone0087,head cheek right 5,ead cheek right 5.B,,,head cheek right 5,,471,,,y,y,y,,head,表情,Exp,,,,,,,
123,bone0089,head eyelid right ctrl,ead eyelid right ctrl.B,,,head eyelid right ctrl,,472,,,y,y,y,,head,表情,Exp,,,,,,,
124,bone0093,head eyebrow right 3,ead eyebrow right 3.B,,,head eyebrow right 3,,473,,,y,y,y,,head,表情,Exp,,,,,,,
125,bone0097,head lip upper right,ead lip upper right.B,,,head lip upper right,,474,,,y,y,y,,head,表情,Exp,,,,,,,
126,bone0098,head nose right,ead nose right.B,,,head nose right,,475,,,y,y,y,,head,表情,Exp,,,,,,,
127,bone0099,head nostril right,ead nostril right.B,,,head nostril right,,476,,,y,y,y,,head,表情,Exp,,,,,,,
128,bone0100,head cheek right 3,ead cheek right 3.B,,,head cheek right 3,,477,,,y,y,y,,head,表情,Exp,,,,,,,
129,bone0101,head cheek right 4,ead cheek right 4.B,,,head cheek right 4,,478,,,y,y,y,,head,表情,Exp,,,,,,,
130,leg_R_D, 右足D, 足D.R,,,right_thigh_D,y,479,,15,y,,y,,D,その他,Others,,,,,,,Y
131,knee_R_D, 右ひざD, ひざD.R,,,right_knee_D,y,480,,16,y,,y,,D,その他,Others,,,,,,,Y
132,ankle_R_D, 右足首D, 足首D.R,,,right_foot_D,y,481,,17,y,,y,,D,その他,Others,,,,,,,Y
133,toe_R_EX, 右足先EX, 先EX.R,,,right toes_EX,y,482,,,y,,y,,D,その他,Others,,,,,,,Y
134,leg_L_D, 左足D, 足D.L,,,left_thigh_D,y,483,,8,y,,y,,D,その他,Others,,,,,,,Y
135,knee_L_D, 左ひざD, ひざD.L,,,left_knee_D,y,484,,9,y,,y,,D,その他,Others,,,,,,,Y
136,ankle_L_D, 左足首D, 足首D.L,,,left_foot_D,y,485,,10,y,,y,,D,その他,Others,,,,,,,Y
137,toe_L_EX, 左足先EX, 先EX.L,,,left toes_EX,y,486,,,y,,y,,D,その他,Others,,,,,,,Y
138,ankle_D_L,左足首D,足首D.L,,,ankle_D_L,,,,,y,,,,D,その他,Others,,,,,,,
139,ankle_D_R,右足首D,足首D.R,,,ankle_D_R,,,,,y,,,,D,その他,Others,,,,,,,
140,foot_IK_root_L, 左足IK親, 足IK親.L,,,foot_IK_root_L,,,,,y,,,,D,その他,Others,,,,,,,
141,leg IK_L_t, 左足ＩＫ先, 足ＩＫ先.L,,,leg IK_L_t,,,,,y,,,,D,その他,Others,,,,,,,
142,toe IK_L_t, 左つま先ＩＫ先, つま先ＩＫ先.L,,,toe IK_L_t,,,,,y,,,,D,その他,Others,,,,,,,
143,foot_IK_root_R, 右足IK親, 足IK親.R,,,foot_IK_root_R,,,,,y,,,,D,その他,Others,,,,,,,
